X,Y,ID,SER,PERMIT,CR,DR,LOCATION,DATE,CD,TG,GD,MODEL,THEME,CITY,LAT,LON,TOOLTIP
-118.413789999985,34.0563900000641,667,PI0064,,MX,,Ave of the Stars && Olympic West,,5,,,,OSF,Los Angeles,34.05639,-118.41379,Type: OSF\nLocation:  Ave of the Stars && Olympic West\nCouncil District:  5\nDate:  \nSerial: PI0064\nPermit:  
-118.412409999961,34.0549700001457,668,PI0065,,MX,,Ave of the Stars && Galaxy Way,,5,,,,OSF,Los Angeles,34.05497,-118.41241,Type: OSF\nLocation:  Ave of the Stars && Galaxy Way\nCouncil District:  5\nDate:  \nSerial: PI0065\nPermit:  
-118.376430000219,34.073390000176,669,PI0069,,MX,,La Cienega Blvd && 3rd Street,,5,,,,OSF,Los Angeles,34.07339,-118.37643,Type: OSF\nLocation:  La Cienega Blvd && 3rd Street\nCouncil District:  5\nDate:  \nSerial: PI0069\nPermit:  
-118.376430000219,34.073390000176,670,PI0070,,MX,,3rd Street && La Cienega Blvd,,5,,,,OSF,Los Angeles,34.07339,-118.37643,Type: OSF\nLocation:  3rd Street && La Cienega Blvd\nCouncil District:  5\nDate:  \nSerial: PI0070\nPermit:  
-118.376410000128,34.0724699999883,671,PI0071,,MX,,La Cienega Blvd && Blackburn Ave,,5,,,,OSF,Los Angeles,34.07247,-118.37641,Type: OSF\nLocation:  La Cienega Blvd && Blackburn Ave\nCouncil District:  5\nDate:  \nSerial: PI0071\nPermit:  
-118.376430000219,34.073390000176,672,PI0072,,MX,,La Cienega Blvd && 3rd Street,,5,,,,OSF,Los Angeles,34.07339,-118.37643,Type: OSF\nLocation:  La Cienega Blvd && 3rd Street\nCouncil District:  5\nDate:  \nSerial: PI0072\nPermit:  
-118.376430000219,34.073390000176,673,PI0073,,MX,,3rd Street && La Cienega Blvd,,5,,,,OSF,Los Angeles,34.07339,-118.37643,Type: OSF\nLocation:  3rd Street && La Cienega Blvd\nCouncil District:  5\nDate:  \nSerial: PI0073\nPermit:  
-118.376600000099,34.076069999856,674,PI0074,,SX,,Beverly Blvd && La Cienega Blvd,,5,,,,OSF,Los Angeles,34.07607,-118.3766,Type: OSF\nLocation:  Beverly Blvd && La Cienega Blvd\nCouncil District:  5\nDate:  \nSerial: PI0074\nPermit:  
-118.376600000099,34.076069999856,675,PI0075,,SX,,La Cienega Blvd && Beverly Blvd,,5,,,,OSF,Los Angeles,34.07607,-118.3766,Type: OSF\nLocation:  La Cienega Blvd && Beverly Blvd\nCouncil District:  5\nDate:  \nSerial: PI0075\nPermit:  
0,0,676,PI0076,,NX,,La Cienega Blvd && Mid Block North of Parking Entrance,,5,,,,OSF,Los Angeles,0,0,Type: OSF\nLocation:  La Cienega Blvd && Mid Block North of Parking Entrance\nCouncil District:  5\nDate:  \nSerial: PI0076\nPermit:  
-118.376600000099,34.076069999856,677,PI0077,,SX,,Beverly Blvd && La Cienega Blvd,,5,,,,OSF,Los Angeles,34.07607,-118.3766,Type: OSF\nLocation:  Beverly Blvd && La Cienega Blvd\nCouncil District:  5\nDate:  \nSerial: PI0077\nPermit:  
-118.375800000032,34.0704699998904,678,PI0079,,SX,,San Vicente Blvd && Colgate Ave,,5,,,,OSF,Los Angeles,34.07047,-118.3758,Type: OSF\nLocation:  San Vicente Blvd && Colgate Ave\nCouncil District:  5\nDate:  \nSerial: PI0079\nPermit:  
-118.376379999991,34.0716200000421,679,PI0080,,SX,,La Cienega Blvd && 4th Street,,5,,,,OSF,Los Angeles,34.07162,-118.37638,Type: OSF\nLocation:  La Cienega Blvd && 4th Street\nCouncil District:  5\nDate:  \nSerial: PI0080\nPermit:  
-118.376490000045,34.0711500000126,680,PI0081,,MX,,Burton Way && La Cienega Blvd,,5,,,,OSF,Los Angeles,34.07115,-118.37649,Type: OSF\nLocation:  Burton Way && La Cienega Blvd\nCouncil District:  5\nDate:  \nSerial: PI0081\nPermit:  
-118.376379999991,34.0716200000421,681,PI0083,,MX,,La Cienega Blvd && San Vicente Blvd,,5,,,,OSF,Los Angeles,34.07162,-118.37638,Type: OSF\nLocation:  La Cienega Blvd && San Vicente Blvd\nCouncil District:  5\nDate:  \nSerial: PI0083\nPermit:  
